0.002,0.003,0.001,0.001,0.115,248,209,188 
0.002,0.003,0.001,0.001,0.12,248,210,187 
0.002,0.003,0.001,0.001,0.125,248,209,190 
0.002,0.003,0.001,0.001,0.13,248,209,190 
0.002,0.003,0.001,0.001,0.135,248,209,189 
0.002,0.003,0.001,0.25075,0.115,249,210,186 
0.002,0.003,0.001,0.25075,0.12,250,210,186 
0.002,0.003,0.001,0.25075,0.125,249,210,186 
0.002,0.003,0.001,0.25075,0.13,250,210,188 
0.002,0.003,0.001,0.25075,0.135,250,210,189 
0.002,0.003,0.001,0.5005,0.115,250,210,187 
0.002,0.003,0.001,0.5005,0.12,251,210,185 
0.002,0.003,0.001,0.5005,0.125,252,210,186 
0.002,0.003,0.001,0.5005,0.13,252,210,187 
0.002,0.003,0.001,0.5005,0.135,252,210,188 
0.002,0.003,0.001,0.75025,0.115,249,211,181 
0.002,0.003,0.001,0.75025,0.12,249,211,182 
0.002,0.003,0.001,0.75025,0.125,250,212,181 
0.002,0.003,0.001,0.75025,0.13,251,211,183 
0.002,0.003,0.001,0.75025,0.135,251,211,185 
0.002,0.003,0.001,1.0,0.115,251,211,189 
0.002,0.003,0.001,1.0,0.12,251,211,189 
0.002,0.003,0.001,1.0,0.125,251,211,187 
0.002,0.003,0.001,1.0,0.13,251,212,187 
0.002,0.003,0.001,1.0,0.135,251,212,188 
0.002,0.02,0.001,0.001,0.115,223,167,163 
0.002,0.02,0.001,0.001,0.12,223,165,163 
0.002,0.02,0.001,0.001,0.125,224,169,165 
0.002,0.02,0.001,0.001,0.13,223,167,166 
0.002,0.02,0.001,0.001,0.135,224,166,166 
0.002,0.02,0.001,0.25075,0.115,224,165,159 
0.002,0.02,0.001,0.25075,0.12,221,166,159 
0.002,0.02,0.001,0.25075,0.125,222,169,157 
0.002,0.02,0.001,0.25075,0.13,222,168,157 
0.002,0.02,0.001,0.25075,0.135,222,168,157 
0.002,0.02,0.001,0.5005,0.115,229,164,152 
0.002,0.02,0.001,0.5005,0.12,230,162,153 
